,IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,GO:Process,GO:Process ID,apoptosis_related
6477,ITGB3BP,991.012,1051.61,1077.89,473.38699999999994,499.94199999999995,543.0740000000001,1242.1,1082.31,1353.89,679.997,757.462,653.22,"CENP-A containing nucleosome assembly///apoptotic process///cell adhesion///cell division///mitotic nuclear division///positive regulation of apoptotic process///regulation of transcription, DNA-templated///signal transduction///sister chromatid cohesion///transcription, DNA-templated",GO:0034080///GO:0006915///GO:0007155///GO:0051301///GO:0007067///GO:0043065///GO:0006355///GO:0007165///GO:0007062///GO:0006351,True
6479,ITGB5,1007.4417800000001,822.36014,868.17346,700.39212,695.8380599999999,663.8239599999999,1413.74336,1416.8302800000001,1230.61978,1314.7640800000001,1166.8076199999998,1014.6252800000001,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent///cell-matrix adhesion///endodermal cell differentiation///epithelial cell-cell adhesion///extracellular matrix organization///integrin-mediated signaling pathway///muscle contraction///stress fiber assembly///transforming growth factor beta receptor signaling pathway///viral entry into host cell",GO:0002479///GO:0007160///GO:0035987///GO:0090136///GO:0030198///GO:0007229///GO:0006936///GO:0043149///GO:0007179///GO:0046718,False
6488,ITIH5,3673.1309200000005,3189.1694199999997,3350.91152,3810.2289200000005,3742.1507,3574.29102,3686.8364,3405.0360200000005,3678.7740200000003,3667.4638,3706.8099,3232.85716,hyaluronan metabolic process///negative regulation of endopeptidase activity,GO:0030212///GO:0010951,False
6493,ITM2B,1540.856,1643.2925,1460.2028,2325.1185,2062.7625,2095.22575,620.18805,613.14965,585.8525,889.01955,833.4810000000001,777.1325,cellular protein metabolic process///negative regulation of amyloid precursor protein biosynthetic process///nervous system development,GO:0044267///GO:0042985///GO:0007399,False
6495,ITPA,732.209,652.1475,897.784,767.1375,834.867,864.061,805.6375,914.2545,986.5195,852.0645,1008.6735,961.3515,ITP catabolic process///chromosome organization///deoxyribonucleoside triphosphate catabolic process///nucleobase-containing small molecule metabolic process,GO:0006193///GO:0051276///GO:0009204///GO:0055086,False
6502,ITPR3,118.28399999999999,112.259,101.39299999999999,110.749,112.19200000000001,106.963,3223.88,3341.76,3138.2,4139.48,3153.47,2723.02,G-protein coupled receptor signaling pathway///calcium ion transport into cytosol///cellular response to cAMP///inositol phosphate-mediated signaling///long-term synaptic potentiation///memory///platelet activation///positive regulation of cytosolic calcium ion concentration///protein heterooligomerization///protein homooligomerization///regulation of cardiac conduction///regulation of insulin secretion///release of sequestered calcium ion into cytosol///response to calcium ion///sensory perception of bitter taste///sensory perception of sweet taste///sensory perception of umami taste,GO:0007186///GO:0060402///GO:0071320///GO:0048016///GO:0060291///GO:0007613///GO:0030168///GO:0007204///GO:0051291///GO:0051260///GO:1903779///GO:0050796///GO:0051209///GO:0051592///GO:0050913///GO:0050916///GO:0050917,False
6507,IVNS1ABP,982.0255,950.7105,891.59,1040.687,968.653,916.4195,745.5980000000001,841.041,791.6575,688.5645,663.2245,663.2875,RNA splicing///negative regulation of intrinsic apoptotic signaling pathway///response to virus///transcription from RNA polymerase III promoter,GO:0008380///GO:2001243///GO:0009615///GO:0006383,True
6542,JTB,6247.06,7044.42,6378.06,5508.73,5516.33,5799.03,7159.85,6927.47,6425.9,6098.08,6385.58,5832.76,apoptotic mitochondrial changes///cytokinesis///mitotic nuclear division///positive regulation of protein kinase activity///regulation of cell proliferation,GO:0008637///GO:0000910///GO:0007067///GO:0045860///GO:0042127,True
6543,JUN,3849.45,3006.8,3122.46,2587.74,2424.25,2320.91,1504.58,1366.63,957.195,1580.45,1526.64,1237.2,"Fc-epsilon receptor signaling pathway///Ras protein signal transduction///SMAD protein import into nucleus///SMAD protein signal transduction///aging///angiogenesis///axon regeneration///cellular response to calcium ion///cellular response to hormone stimulus///cellular response to potassium ion starvation///circadian rhythm///eyelid development in camera-type eye///leading edge cell differentiation///learning///liver development///membrane depolarization///microglial cell activation///monocyte differentiation///negative regulation by host of viral transcription///negative regulation of DNA binding///negative regulation of cell proliferation///negative regulation of neuron apoptotic process///negative regulation of protein autophosphorylation///negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress///negative regulation of transcription, DNA-templated///outflow tract morphogenesis///positive regulation by host of viral transcription///positive regulation of DNA replication///positive regulation of DNA-templated transcription, initiation///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of cell differentiation///positive regulation of endothelial cell proliferation///positive regulation of epithelial cell migration///positive regulation of fibroblast proliferation///positive regulation of monocyte differentiation///positive regulation of neuron apoptotic process///positive regulation of pri-miRNA transcription from RNA polymerase II promoter///positive regulation of pri-miRNA transcription from RNA polymerase II promoter///positive regulation of smooth muscle cell proliferation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///regulation of cell cycle///regulation of cell death///regulation of cell proliferation///regulation of sequence-specific DNA binding transcription factor activity///release of cytochrome c from mitochondria///response to cAMP///response to cytokine///response to drug///response to hydrogen peroxide///response to lipopolysaccharide///response to mechanical stimulus///response to muscle stretch///response to radiation///transcription from RNA polymerase II promoter///transforming growth factor beta receptor signaling pathway",GO:0038095///GO:0007265///GO:0007184///GO:0060395///GO:0007568///GO:0001525///GO:0031103///GO:0071277///GO:0032870///GO:0051365///GO:0007623///GO:0061029///GO:0035026///GO:0007612///GO:0001889///GO:0051899///GO:0001774///GO:0030224///GO:0043922///GO:0043392///GO:0008285///GO:0043524///GO:0031953///GO:1990441///GO:0045892///GO:0003151///GO:0043923///GO:0045740///GO:2000144///GO:0070374///GO:0043547///GO:0045597///GO:0001938///GO:0010634///GO:0048146///GO:0045657///GO:0043525///GO:1902895///GO:1902895///GO:0048661///GO:0045944///GO:0045944///GO:0045893///GO:0051726///GO:0010941///GO:0042127///GO:0051090///GO:0001836///GO:0051591///GO:0034097///GO:0042493///GO:0042542///GO:0032496///GO:0009612///GO:0035994///GO:0009314///GO:0006366///GO:0007179,True
6545,JUND,4343.3,4598.38,3931.48,7437.07,7175.96,5840.98,5874.75,5271.22,4522.36,6686.27,6792.39,5788.69,aging///cellular response to calcium ion///cellular response to hormone stimulus///circadian rhythm///negative regulation of transcription from RNA polymerase II promoter///osteoblast development///positive regulation of cell differentiation///positive regulation of osteoblast differentiation///positive regulation of transcription from RNA polymerase II promoter///regulation of cell cycle///regulation of cell death///regulation of cell proliferation///regulation of transcription from RNA polymerase II promoter///response to cAMP///response to cytokine///response to drug///response to light stimulus///response to lipopolysaccharide///response to mechanical stimulus///response to peptide hormone///response to radiation///transcription from RNA polymerase II promoter,GO:0007568///GO:0071277///GO:0032870///GO:0007623///GO:0000122///GO:0002076///GO:0045597///GO:0045669///GO:0045944///GO:0051726///GO:0010941///GO:0042127///GO:0006357///GO:0051591///GO:0034097///GO:0042493///GO:0009416///GO:0032496///GO:0009612///GO:0043434///GO:0009314///GO:0006366,False
6552,KANSL2,834.471,739.482,899.225,713.6410000000001,723.063,811.311,1137.51,1441.68,1137.18,1078.81,1000.65,765.55,histone H4-K16 acetylation///histone H4-K5 acetylation///histone H4-K8 acetylation,GO:0043984///GO:0043981///GO:0043982,False
6553,KANSL3,913.7410000000001,852.433,848.166,980.998,1085.51,1047.53,2490.0,1958.16,1937.15,1660.1,1744.69,1192.55,histone H4-K16 acetylation///histone H4-K5 acetylation///histone H4-K8 acetylation,GO:0043984///GO:0043981///GO:0043982,False
6555,KAT14,845.7139999999999,776.4830000000001,783.831,602.669,664.9730000000001,598.253,958.1089999999999,882.453,918.2180000000001,736.2360000000001,798.315,691.178,G2/M transition of mitotic cell cycle///histone H3 acetylation,GO:0000086///GO:0043966,False
6572,KBTBD2,987.842,1274.51,930.345,1163.41,1221.18,980.998,822.633,1000.41,840.673,1268.22,1245.49,957.195,protein ubiquitination,GO:0016567,False
6612,KCNH6,1867.0742329999998,2470.362,1898.392,2174.592733,1878.0133670000002,1825.605467,2079.3206,1667.9439,1666.848067,1881.2571670000002,1940.7570670000002,1884.6813,potassium ion transmembrane transport///regulation of ion transmembrane transport///regulation of membrane potential,GO:0071805///GO:0034765///GO:0042391,False
6686,KCTD3,461.1285,516.4355,448.819,429.2505,507.88599999999997,384.744,1382.685,1347.465,1377.31,1335.13,1211.5835,1057.05,protein homooligomerization,GO:0051260,False
6692,KCTD9,1059.94,1028.81,959.1339999999999,803.809,859.788,796.54,614.413,703.6030000000001,755.3430000000001,507.61199999999997,559.762,575.075,protein homooligomerization,GO:0051260,False
6695,KDELR1,2293.64,1923.01,2082.19,3045.49,2632.53,2751.58,1850.55,1764.85,1808.87,2258.78,2114.61,2072.61,"ER to Golgi vesicle-mediated transport///intracellular protein transport///protein retention in ER lumen///retrograde vesicle-mediated transport, Golgi to ER",GO:0006888///GO:0006886///GO:0006621///GO:0006890,False
6696,KDELR2,2295.83,2560.82,2713.04,2401.89,2441.53,2387.51,1825.48,1947.19,2041.55,2131.01,2042.71,2609.2,"intracellular protein transport///protein retention in ER lumen///retrograde vesicle-mediated transport, Golgi to ER",GO:0006886///GO:0006621///GO:0006890,False
6699,KDM1A,1363.22,1151.06,1247.39,1388.66,1341.6,1265.92,1665.83,1500.75,1913.9,1958.16,1702.94,1567.32,"blood coagulation///cell proliferation///cellular response to UV///cellular response to gamma radiation///granulocyte differentiation///histone H3-K4 demethylation///histone H3-K9 demethylation///histone deacetylation///in utero embryonic development///muscle cell development///negative regulation of DNA binding///negative regulation of DNA damage response, signal transduction by p53 class mediator///negative regulation of histone H3-K4 methylation///negative regulation of histone H3-K9 methylation///negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///negative regulation of protein binding///negative regulation of sequence-specific DNA binding transcription factor activity///negative regulation of sequence-specific DNA binding transcription factor activity///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///oxidation-reduction process///pituitary gland development///positive regulation of erythrocyte differentiation///positive regulation of histone ubiquitination///positive regulation of hormone biosynthetic process///positive regulation of megakaryocyte differentiation///positive regulation of neural precursor cell proliferation///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of stem cell proliferation///positive regulation of transcription from RNA polymerase II promoter///protein demethylation///regulation of cellular protein localization///regulation of double-strand break repair via homologous recombination///regulation of primitive erythrocyte differentiation///regulation of transcription from RNA polymerase II promoter///transcription, DNA-templated",GO:0007596///GO:0008283///GO:0034644///GO:0071480///GO:0030851///GO:0034720///GO:0033169///GO:0016575///GO:0001701///GO:0055001///GO:0043392///GO:0043518///GO:0051572///GO:0051573///GO:1902166///GO:0032091///GO:0043433///GO:0043433///GO:0000122///GO:0000122///GO:0045892///GO:0055114///GO:0021983///GO:0045648///GO:0033184///GO:0046886///GO:0045654///GO:2000179///GO:0051091///GO:2000648///GO:0045944///GO:0006482///GO:1903827///GO:0010569///GO:0010725///GO:0006357///GO:0006351,True
6709,KDM5B,819.956,934.41,873.9939999999999,1174.75,966.428,1020.25,814.0889999999999,689.2819999999999,729.307,782.2239999999999,853.4789999999999,757.462,"branching involved in mammary gland duct morphogenesis///cellular response to fibroblast growth factor stimulus///histone H3-K4 demethylation///histone H3-K4 demethylation, trimethyl-H3-K4-specific///lens fiber cell differentiation///mammary duct terminal end bud growth///negative regulation of transcription, DNA-templated///oxidation-reduction process///positive regulation of gene expression///positive regulation of mammary gland epithelial cell proliferation///post-embryonic development///regulation of estradiol secretion///response to fungicide///rhythmic process///single fertilization///transcription, DNA-templated///uterus morphogenesis",GO:0060444///GO:0044344///GO:0034720///GO:0034721///GO:0070306///GO:0060763///GO:0045892///GO:0055114///GO:0010628///GO:0033601///GO:0009791///GO:2000864///GO:0060992///GO:0048511///GO:0007338///GO:0006351///GO:0061038,False
6721,KHDRBS1,4006.03,4657.81,3833.33,4181.58,4862.3,4929.75,4444.77,5082.0,5591.73,4882.27,5675.81,4867.81,"G2/M transition of mitotic cell cycle///cell cycle arrest///cell proliferation///cell surface receptor signaling pathway///mRNA processing///negative regulation of transcription, DNA-templated///positive regulation of RNA export from nucleus///positive regulation of signal transduction///positive regulation of translational initiation///regulation of RNA export from nucleus///NOT regulation of protein stability///signal transduction///transcription, DNA-templated",GO:0000086///GO:0007050///GO:0008283///GO:0007166///GO:0006397///GO:0045892///GO:0046833///GO:0009967///GO:0045948///GO:0046831///NOT GO:0031647///GO:0007165///GO:0006351,False
6727,KIAA0101,5589.073667000001,5588.470333,4973.099,5647.341332999999,5115.033667000001,5285.951667,5225.293,4453.686667,4557.146667,5310.012,5411.745333,4872.271667,DNA replication///cellular response to DNA damage stimulus///centrosome organization///regulation of cell cycle///response to UV///translesion synthesis///translesion synthesis,GO:0006260///GO:0006974///GO:0051297///GO:0051726///GO:0009411///GO:0019985///GO:0019985,False
6729,KIAA0196,970.883,982.1139999999999,1005.49,1789.85,1842.9,1626.88,260.209,257.649,234.398,427.751,443.94300000000004,384.339,endosomal transport///oocyte maturation///polar body extrusion after meiotic divisions///protein transport///spindle assembly involved in meiosis,GO:0016197///GO:0001556///GO:0040038///GO:0015031///GO:0090306,False
6739,KIAA1191,1669.1,1760.185,1679.38,1232.49,1324.96,1028.11,2041.155,1936.03,2318.025,1872.515,1674.185,1799.525,biological_process///oxidation-reduction process,GO:0008150///GO:0055114,False
6765,KIF20A,954.8810000000001,847.758,989.123,1422.57,1374.47,1504.58,1312.64,1322.36,1386.04,1328.86,1505.19,1464.62,cell separation after cytokinesis///cytokinesis///microtubule bundle formation///microtubule-based movement///mitotic cytokinesis///protein transport///vesicle-mediated transport,GO:0000920///GO:0000910///GO:0001578///GO:0007018///GO:0000281///GO:0015031///GO:0016192,False
6766,KIF20B,982.8810000000001,969.7760000000001,917.595,801.904,914.165,908.796,1034.07,1297.5,1083.69,816.31,917.921,1039.59,cell cycle arrest///cell division///microtubule-based movement///mitotic nuclear division///neural tube closure///neuron projection morphogenesis///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of cytokinesis///positive regulation of intracellular protein transport///positive regulation of mitotic cytokinetic process///positive regulation of neuron migration///protein localization to microtubule///regulation of establishment of cell polarity///regulation of mitotic nuclear division,GO:0007050///GO:0051301///GO:0007018///GO:0007067///GO:0001843///GO:0048812///GO:0008284///GO:0008284///GO:0032467///GO:0090316///GO:1903438///GO:2001224///GO:0035372///GO:2000114///GO:0007088,False
6785,KIF5B,1168.78,924.988,907.415,889.1489999999999,1026.56,931.5139999999999,671.323,784.3960000000001,767.347,618.24,573.545,519.214,"axon guidance///cell-cell adhesion///cytoplasm organization///cytoskeleton-dependent intracellular transport///microtubule-based movement///plus-end-directed vesicle transport along microtubule///positive regulation of establishment of protein localization to plasma membrane///positive regulation of potassium ion transport///positive regulation of synaptic transmission, GABAergic///regulation of membrane potential///stress granule disassembly///vesicle transport along microtubule",GO:0007411///GO:0098609///GO:0007028///GO:0030705///GO:0007018///GO:0072383///GO:0090004///GO:0043268///GO:0032230///GO:0042391///GO:0035617///GO:0047496,False
6791,KIFC1,829.686,843.91,866.3760000000001,642.373,695.294,791.809,1060.32,971.796,874.324,732.357,698.327,553.654,cell division///microtubule-based movement///mitotic metaphase plate congression///mitotic sister chromatid segregation///mitotic spindle assembly///spermatogenesis,GO:0051301///GO:0007018///GO:0007080///GO:0000070///GO:0090307///GO:0007283,False
6830,KLF6,2684.6,2309.13,2184.72,3135.92,3207.54,2819.43,2322.42,2418.36,1835.21,2353.38,2208.96,1507.14,"B cell differentiation///cellular response to cycloheximide///cellular response to hydrogen peroxide///cellular response to peptide///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///transcription, DNA-templated///wound healing",GO:0030183///GO:0071409///GO:0070301///GO:1901653///GO:0045944///GO:0045893///GO:0006351///GO:0042060,False
6834,KLHDC3,2484.29,2114.61,2338.03,2424.25,2596.94,2768.75,2680.49,2634.84,2592.75,3116.53,2924.79,2836.46,IRE1-mediated unfolded protein response///reciprocal meiotic recombination,GO:0036498///GO:0007131,False
6871,KLHL9,945.742,702.4580000000001,908.5169999999999,1699.36,1625.14,1567.32,358.405,347.149,419.57199999999995,562.761,514.306,707.096,cytokinesis///mitotic nuclear division///protein ubiquitination///protein ubiquitination,GO:0000910///GO:0007067///GO:0016567///GO:0016567,False
6882,KLK5,97.60743333,100.0159333,100.5073,95.01723333,95.80433333,96.93206667,2125.8406670000004,2468.666,2879.265667,2798.917,2938.624667,3296.5490000000004,epidermis development///positive regulation of G-protein coupled receptor protein signaling pathway///positive regulation of antibacterial peptide production///proteolysis,GO:0008544///GO:0045745///GO:0002803///GO:0006508,False
6913,KPNA2,803.4855,889.431,887.9960000000001,830.466,830.8785,1011.905,635.764,662.5945,799.298,596.526,624.711,786.1405,DNA metabolic process///NLS-bearing protein import into nucleus///intracellular transport of virus///modulation by virus of host process///regulation of DNA recombination,GO:0006259///GO:0006607///GO:0075733///GO:0019054///GO:0000018,False
6914,KPNA3,1336.67,1853.59,1514.73,1270.66,1147.11,1283.69,1076.8,974.818,1074.6,906.117,982.8810000000001,881.576,NLS-bearing protein import into nucleus///intracellular transport of virus///modulation by virus of host process///protein complex assembly///viral entry into host cell///viral penetration into host nucleus,GO:0006607///GO:0075733///GO:0019054///GO:0006461///GO:0046718///GO:0075732,False
6915,KPNA4,2592.75,2439.94,2507.65,2713.04,2560.82,2492.8,2873.71,3135.92,3042.54,2666.03,2433.9,2139.07,NLS-bearing protein import into nucleus///intracellular transport of virus///modulation by virus of host process///response to hydrogen peroxide,GO:0006607///GO:0075733///GO:0019054///GO:0042542,False
6919,KPNB1,5214.34,6615.29,5324.27,4674.18,5266.16,5458.51,5714.06,5967.25,5492.54,4682.52,4379.33,4825.16,"NLS-bearing protein import into nucleus///Ran protein signal transduction///apoptotic DNA fragmentation///astral microtubule organization///establishment of mitotic spindle localization///establishment of protein localization///intracellular transport of virus///mitotic chromosome movement towards spindle pole///mitotic metaphase plate congression///mitotic spindle assembly///modulation by virus of host process///protein import into nucleus///protein import into nucleus, docking///protein import into nucleus, translocation///ribosomal protein import into nucleus",GO:0006607///GO:0031291///GO:0006309///GO:0030953///GO:0040001///GO:0045184///GO:0075733///GO:0007079///GO:0007080///GO:0090307///GO:0019054///GO:0006606///GO:0000059///GO:0000060///GO:0006610,True
6931,KRT10,920.2139999999999,841.0889999999999,1005.24,722.185,970.883,935.549,741.0260000000001,970.398,885.352,1211.87,1301.8,1269.61,keratinocyte differentiation,GO:0030216,False
6937,KRT17,97.7018,90.9074,96.8984,94.2018,100.34299999999999,93.9184,3824.92,3624.79,4077.45,6836.09,7110.07,8700.07,epidermis development///hair follicle morphogenesis///intermediate filament organization///keratinization///positive regulation of cell growth///positive regulation of hair follicle development///positive regulation of translation///signal transduction,GO:0008544///GO:0031069///GO:0045109///GO:0031424///GO:0030307///GO:0051798///GO:0045727///GO:0007165,False
6939,KRT19,94.6554,108.036,90.0152,91.3013,95.5838,89.912,7748.66,8051.45,5793.72,8580.3,9652.17,9259.07,Notch signaling pathway///cell differentiation involved in embryonic placenta development///response to estrogen///sarcomere organization///viral process,GO:0007219///GO:0060706///GO:0043627///GO:0045214///GO:0016032,False
6958,KRT7,110.38,104.635,102.462,101.95,107.31299999999999,105.64,1698.04,1749.34,1866.01,1700.38,1991.35,1846.54,viral process,GO:0016032,False
6966,KRT8,99.7057,103.94,100.59899999999999,97.1576,99.3338,105.70700000000001,1755.31,2459.29,1499.12,2526.24,3207.54,2974.16,cell differentiation involved in embryonic placenta development///extrinsic apoptotic signaling pathway///hepatocyte apoptotic process///response to hydrostatic pressure///response to other organism///sarcomere organization///tumor necrosis factor-mediated signaling pathway///viral process,GO:0060706///GO:0097191///GO:0097284///GO:0051599///GO:0051707///GO:0045214///GO:0033209///GO:0016032,True
6980,KRTCAP2,3760.71,2334.73,3341.76,3915.61,3343.82,3184.85,2117.11,2594.97,1831.45,2466.3,2495.37,2317.83,biological_process,GO:0008150,False
6984,KTN1,1929.12,2064.61,1767.35,1868.96,1974.44,1968.01,2784.32,2829.76,3565.84,2605.06,2703.05,2922.95,cell-cell adhesion///microtubule-based movement,GO:0098609///GO:0007018,False
6985,KXD1,1111.85,1793.08,1242.1,843.211,1050.93,1416.16,1218.65,1405.53,1533.21,1172.16,1139.89,1288.36,lysosome localization///vesicle-mediated transport,GO:0032418///GO:0016192,False
6989,KYNU,395.9625,396.4425,473.9805,565.802,511.24800000000005,425.284,2977.97,3050.105,2862.13,3224.53,2941.29,3211.655,'de novo' NAD biosynthetic process from tryptophan///L-kynurenine catabolic process///anthranilate metabolic process///quinolinate biosynthetic process///response to interferon-gamma///response to vitamin B6///tryptophan catabolic process///tryptophan catabolic process///tryptophan catabolic process to acetyl-CoA///tryptophan catabolic process to kynurenine,GO:0034354///GO:0097053///GO:0043420///GO:0019805///GO:0034341///GO:0034516///GO:0006569///GO:0006569///GO:0019442///GO:0019441,False
7002,LAGE3,4878.14,4726.39,4543.92,4287.22,3886.35,4517.44,3666.81,3811.1,3355.43,3936.17,3819.13,3423.55,biological_process///tRNA processing,GO:0008150///GO:0008033,False
7003,LAIR1,10191.779,10424.223,11467.382,9948.0035,10001.7745,9979.1955,10031.189,10181.958,9972.1995,9999.1875,9743.979,9088.3585,adaptive immune response///regulation of immune response,GO:0002250///GO:0050776,False
7010,LAMA5,426.542,346.89599999999996,490.75800000000004,1562.57,1167.39,1074.16,3148.84,2369.53,2148.0,3545.46,3220.76,2295.83,angiogenesis///branching involved in salivary gland morphogenesis///branching involved in ureteric bud morphogenesis///cell differentiation///cell migration///cell proliferation///cell recognition///cilium assembly///cytoskeleton organization///embryo development///endothelial cell differentiation///establishment of protein localization to plasma membrane///extracellular matrix organization///focal adhesion assembly///hair follicle development///integrin-mediated signaling pathway///lung development///morphogenesis of a polarized epithelium///morphogenesis of embryonic epithelium///muscle organ development///neural crest cell migration///odontogenesis of dentin-containing tooth///regulation of cell adhesion///regulation of cell migration///regulation of cell proliferation///regulation of embryonic development///substrate adhesion-dependent cell spreading,GO:0001525///GO:0060445///GO:0001658///GO:0030154///GO:0016477///GO:0008283///GO:0008037///GO:0042384///GO:0007010///GO:0009790///GO:0045446///GO:0090002///GO:0030198///GO:0048041///GO:0001942///GO:0007229///GO:0030324///GO:0001738///GO:0016331///GO:0007517///GO:0001755///GO:0042475///GO:0030155///GO:0030334///GO:0042127///GO:0045995///GO:0034446,False
7015,LAMC1,3223.88,2931.71,2716.06,5311.94,4353.01,4282.88,1364.45,1165.5,998.1619999999999,1665.4,1624.57,1357.1,cell adhesion///cell migration///endoderm development///extracellular matrix disassembly///extracellular matrix organization///hemidesmosome assembly///positive regulation of epithelial cell proliferation///protein complex assembly///substrate adhesion-dependent cell spreading,GO:0007155///GO:0016477///GO:0007492///GO:0022617///GO:0030198///GO:0031581///GO:0050679///GO:0006461///GO:0034446,False
7018,LAMP1,6262.7,4819.73,5422.95,7103.82,7798.83,6320.39,3193.09,3161.82,2738.62,4221.63,4110.85,3376.83,Golgi to lysosome transport///autophagic cell death///autophagy///establishment of protein localization to organelle///granzyme-mediated apoptotic signaling pathway///positive regulation of natural killer cell degranulation///positive regulation of natural killer cell mediated cytotoxicity///protein stabilization///regulation of organelle transport along microtubule///viral entry into host cell,GO:0090160///GO:0048102///GO:0006914///GO:0072594///GO:0008626///GO:0043323///GO:0045954///GO:0050821///GO:1902513///GO:0046718,True
7019,LAMP2,3080.469333,2643.0818329999997,3004.461833,3915.335167,3772.705,3513.4898329999996,933.2408332999998,812.1645,908.9965,1402.509167,1345.692833,1190.645,chaperone-mediated autophagy///muscle cell cellular homeostasis///platelet degranulation///protein import///protein stabilization///regulation of protein stability,GO:0061684///GO:0046716///GO:0002576///GO:0017038///GO:0050821///GO:0031647,False
7021,LAMTOR1,985.846,940.988,1095.19,1236.68,1079.79,1144.53,1229.26,1256.93,1287.48,1359.42,1505.73,1523.16,cell cycle arrest///cell growth///cellular protein localization///cellular response to amino acid stimulus///cholesterol homeostasis///endosome localization///endosome organization///lysosome localization///lysosome organization///macroautophagy///positive regulation of GTPase activity///positive regulation of MAPK cascade///positive regulation of TOR signaling///regulation of cholesterol efflux///regulation of cholesterol esterification///regulation of cholesterol import///regulation of receptor recycling,GO:0007050///GO:0016049///GO:0034613///GO:0071230///GO:0042632///GO:0032439///GO:0007032///GO:0032418///GO:0007040///GO:0016236///GO:0043547///GO:0043410///GO:0032008///GO:0010874///GO:0010872///GO:0060620///GO:0001919,False
7022,LAMTOR2,2219.335,1910.5479999999998,2496.49,2605.13,2631.5,2110.975,1585.0645,1466.6705,1198.318,1913.6870000000001,1752.517,1558.0629999999999,MAPK cascade///activation of MAPKK activity///cell cycle arrest///cell growth///cellular protein localization///cellular response to amino acid stimulus///macroautophagy///positive regulation of GTPase activity///positive regulation of TOR signaling,GO:0000165///GO:0000186///GO:0007050///GO:0016049///GO:0034613///GO:0071230///GO:0016236///GO:0043547///GO:0032008,False
7024,LAMTOR4,1921.5,1557.38,2111.62,1558.86,1510.75,1417.11,789.955,1062.86,643.628,712.887,867.405,573.087,cell cycle arrest///cellular response to amino acid stimulus///macroautophagy///positive regulation of GTPase activity///positive regulation of TOR signaling///protein localization to lysosome///regulation of cell size,GO:0007050///GO:0071230///GO:0016236///GO:0043547///GO:0032008///GO:0061462///GO:0008361,False
7025,LAMTOR5,1654.6765,1528.825,1623.2646,1607.82525,1506.60125,1618.5235,1800.0,1867.3668,1720.34735,2399.862,2560.33,2023.4545,cell cycle arrest///cellular response to amino acid stimulus///macroautophagy///negative regulation of apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of GTPase activity///positive regulation of TOR signaling///protein localization to lysosome///regulation of cell size///response to virus///viral genome replication,GO:0007050///GO:0071230///GO:0016236///GO:0043066///GO:0043154///GO:0043547///GO:0032008///GO:0061462///GO:0008361///GO:0009615///GO:0019079,True
7027,LANCL2,178.419,178.358,174.637,163.47,165.59,215.34400000000002,2544.35,3189.72,3207.54,2178.92,2610.96,2187.31,"negative regulation of transcription, DNA-templated///positive regulation of abscisic acid-activated signaling pathway",GO:0045892///GO:0009789,False
7029,LAP3,859.018,796.9639999999999,919.0139999999999,1190.74,953.105,1023.6,820.429,772.605,881.145,957.88,1001.74,1079.79,proteolysis,GO:0006508,False
7030,LAPTM4A,1165.13,1367.94,1425.21,1330.78,1005.49,1322.95,580.5740000000001,541.995,709.768,504.216,541.743,885.352,transport,GO:0006810,False
7031,LAPTM4B,6068.925,5040.88,5524.185,6496.015,5935.24,5824.625,1611.07,1497.8,1459.835,2177.665,2148.305,1946.98,transport,GO:0006810,False
7039,LARP6,1367.575,1060.5295,1247.215,1569.76,1459.955,1297.885,205.037,185.9135,179.7995,240.08,214.5885,197.493,RNA processing///regulation of translation,GO:0006396///GO:0006417,False
7041,LARS,1345.33,1500.29,1378.81,1390.95,1586.56,1573.83,909.015,817.211,975.7639999999999,1023.88,941.554,952.31,leucyl-tRNA aminoacylation///regulation of translational fidelity///tRNA aminoacylation for protein translation,GO:0006429///GO:0006450///GO:0006418,False
7044,LASP1,2893.1,2336.44,3078.91,4692.14,5082.0,3768.03,5305.12,5958.14,6074.56,4699.33,3578.85,4028.7,cell-cell adhesion///ion transmembrane transport///ion transport///positive regulation of signal transduction,GO:0098609///GO:0034220///GO:0006811///GO:0009967,False
7083,LCN2,103.412,92.9534,97.6355,99.8064,103.26700000000001,100.221,2418.36,1975.33,2731.09,5266.16,5695.87,5297.74,apoptotic process///cellular iron ion homeostasis///innate immune response///ion transport///siderophore transport,GO:0006915///GO:0006879///GO:0045087///GO:0006811///GO:0015891,True
